23.1,2023-07-05,23.1.4,Eric Engestrom
,2023-07-19,23.1.5,Eric Engestrom
,2023-08-02,23.1.6,Eric Engestrom,Last planned 23.1.x release
23.2,2023-10-11,23.2.2,Dylan Baker
,2023-10-25,23.2.3,Dylan Baker
,2023-11-08,23.2.4,Dylan Baker,This is the last planned release of the 23.2.x series.
